FrameNum MouseNum LeftX LeftY RightX RightY
1 0 743 332 791 324
2 0 742 332 792 323
3 0 743 332 795 322
4 0 743 332 795 322
5 0 742 332 795 321
6 0 743 333 797 317
7 0 742 333 798 315
8 0 743 335 800 314
9 0 743 333 801 311
10 0 743 335 803 308
11 0 743 335 0 0
12 0 743 338 0 0
13 0 762 348 0 0
14 0 774 351 0 0
15 0 773 349 0 0
16 0 774 351 0 0
17 0 772 351 0 0
18 0 774 351 0 0
19 0 774 351 813 288
20 0 775 350 0 0
21 0 775 351 0 0
22 0 775 350 0 0
23 0 774 350 0 0
24 0 775 350 0 0
25 0 775 350 0 0
26 0 774 351 0 0
27 0 774 351 0 0
28 0 776 352 0 0
29 0 776 353 0 0
30 0 775 351 0 0
31 0 777 353 0 0
32 0 777 353 0 0
33 0 776 353 0 0
34 0 776 353 0 0
35 0 775 353 0 0
36 0 775 354 0 0
37 0 776 354 0 0
38 0 775 353 828 291
39 0 776 353 828 298
40 0 776 354 829 305
41 0 775 354 831 314
42 0 775 353 832 320
43 0 774 352 831 321
44 0 777 354 832 323
45 0 777 353 831 327
46 0 777 353 832 333
47 0 776 354 832 334
48 0 776 354 835 334
49 0 775 354 839 331
50 0 775 355 843 327
51 0 777 354 846 323
52 0 775 353 850 321
53 0 775 354 852 320
54 0 779 355 850 319
55 0 776 354 851 319
56 0 775 353 851 320
57 0 776 354 849 318
58 0 774 354 850 319
59 0 777 355 851 321
60 0 774 354 850 320
61 0 775 354 850 321
62 0 776 353 849 320
63 0 776 353 850 321
64 0 777 354 850 321
65 0 776 353 850 320
66 0 775 353 850 320
67 0 777 353 851 320
68 0 776 352 851 320
69 0 777 353 850 319
70 0 777 353 851 319
71 0 776 351 851 319
72 0 776 351 851 319
73 0 776 351 850 318
74 0 777 352 851 318
75 0 776 349 850 318
76 0 777 351 851 318
77 0 778 352 851 318
78 0 778 351 850 317
79 0 776 350 850 317
80 0 775 349 849 316
81 0 776 349 848 315
82 0 777 350 848 316
83 0 777 350 849 316
84 0 777 349 848 315
85 0 777 350 849 315
86 0 777 349 848 315
87 0 776 348 849 315
88 0 776 347 849 315
89 0 775 348 848 315
90 0 777 349 848 314
91 0 776 349 847 315
92 0 779 350 849 315
93 0 779 350 848 315
94 0 777 348 849 314
95 0 778 349 850 315
96 0 777 348 850 314
97 0 777 348 851 315
98 0 779 347 851 314
99 0 779 347 851 314
100 0 779 345 851 314
101 0 778 346 852 320
102 0 777 345 0 0
103 0 775 345 0 0
104 0 778 346 0 0
105 0 777 346 0 0
106 0 777 347 790 372
107 0 776 347 791 372
108 0 776 345 791 371
109 0 775 346 792 371
110 0 773 346 792 368
111 0 770 346 791 369
112 0 752 348 790 370
113 0 746 354 791 369
114 0 745 361 790 370
115 0 741 357 791 369
116 0 740 354 791 369
117 0 742 353 791 370
118 0 743 355 791 370
119 0 745 358 789 371
120 0 745 357 789 371
