FrameNum MouseNum LeftX LeftY RightX RightY MouseAngle MouseX MouseY   
1 1 0 0 0 0 101 75 216 
2 1 128 89 140 84 100 75 17 
3 1 122 84 139 81 101 75 13 
4 1 121 82 138 80 101 75 12 
5 1 120 79 137 80 101 74 10 
6 1 122 80 138 79 101 74 9 
7 1 123 79 139 79 101 75 7 
8 1 123 82 139 80 101 74 13 
9 1 124 82 140 81 100 74 12 
10 1 124 83 140 81 99 74 13 
11 1 124 84 141 81 99 74 13 
12 1 123 84 139 81 99 75 12 
13 1 123 84 139 82 99 72 18 
14 1 123 84 139 82 99 74 15 
15 1 124 86 139 82 99 75 15 
16 1 123 84 139 81 100 75 12 
17 1 124 84 140 81 100 74 14 
18 1 126 84 141 83 100 74 15 
19 1 124 84 139 81 101 74 14 
20 1 125 85 140 81 101 73 17 
21 1 124 83 140 82 100 72 17 
22 1 124 84 140 82 100 73 17 
23 1 123 83 138 81 100 73 16 
24 1 123 82 138 82 100 74 14 
25 1 123 83 139 82 100 74 14 
26 1 123 83 139 82 101 74 14 
27 1 123 83 139 82 100 72 17 
28 1 122 83 139 81 100 73 16 
29 1 123 84 139 82 100 72 19 
30 1 127 86 139 82 100 72 19 
31 1 123 84 139 82 100 72 19 
32 1 122 85 139 82 100 72 20 
33 1 121 84 138 82 100 75 15 
34 1 122 84 137 80 100 73 17 
35 1 121 80 137 78 100 75 7 
36 1 124 81 136 77 100 75 7 
37 1 121 78 138 76 100 74 5 
38 1 123 78 139 76 101 75 3 
39 1 123 79 138 76 101 74 5 
40 1 125 79 137 71 100 74 1 
41 1 124 79 133 70 99 74 0 
42 1 119 79 134 76 99 74 6 
43 1 118 81 131 77 99 74 11 
44 1 117 80 130 76 98 74 9 
45 1 119 80 130 75 99 74 6 
46 1 120 79 131 75 99 74 6 
47 1 122 80 133 75 99 74 6 
48 1 123 82 133 76 100 75 8 
49 1 125 85 134 78 100 75 11 
50 1 123 82 135 78 100 76 7 
51 1 123 82 132 73 100 76 2 
52 1 121 81 126 73 100 76 2 
53 1 121 82 124 74 99 76 4 
54 1 118 83 125 75 99 76 7 
