FrameNum MouseNum LeftX LeftY RightX RightY MouseAngle MouseX MouseY   
3005 1 0 0 0 0 155 112 215 
3006 1 0 0 0 0 156 112 215 
3007 1 0 0 75 139 156 112 199 
3008 1 80 118 68 135 154 111 169 
3009 1 77 114 62 136 154 112 171 
3010 1 75 114 63 137 155 112 171 
3011 1 76 113 63 135 155 111 171 
3012 1 75 113 64 134 153 111 171 
3013 1 72 117 62 136 153 111 170 
3014 1 70 118 61 138 153 111 169 
3015 1 71 117 62 138 154 111 169 
3016 1 72 117 62 139 154 111 168 
3017 1 75 116 64 139 153 111 169 
3018 1 75 117 65 139 153 110 167 
3019 1 76 118 67 138 153 111 168 
3020 1 77 115 68 138 154 110 168 
3021 1 75 116 70 135 155 111 170 
3022 1 75 116 66 136 154 111 169 
3023 1 73 118 64 138 154 111 168 
3024 1 75 119 64 139 154 111 168 
3025 1 77 118 64 141 154 110 167 
3026 1 80 118 63 143 154 110 166 
3027 1 80 116 64 142 154 110 166 
3028 1 77 118 62 140 154 110 167 
3029 1 77 119 63 138 154 110 167 
3030 1 77 117 59 139 154 110 168 
3031 1 76 118 57 137 154 110 169 
3032 1 74 118 56 140 152 110 167 
3033 1 73 120 56 140 152 109 166 
3034 1 75 121 55 143 153 109 165 
3035 1 76 121 57 145 153 109 164 
3036 1 76 121 59 145 154 109 164 
3037 1 77 121 62 144 154 111 166 
3038 1 78 121 59 145 155 110 165 
3039 1 78 120 61 141 155 110 166 
3040 1 78 121 59 140 154 110 166 
3041 1 78 120 60 140 154 110 166 
3042 1 78 121 61 141 154 110 166 
3043 1 79 121 59 141 153 110 165 
3044 1 80 120 59 142 153 109 165 
3045 1 82 118 59 145 153 109 165 
3046 1 82 120 61 142 154 109 165 
3047 1 80 121 62 141 154 109 165 
3048 1 81 119 59 134 153 110 169 
3049 1 79 121 58 133 154 109 168 
3050 1 80 121 56 134 153 110 168 
3051 1 79 121 56 134 152 110 168 
3052 1 73 123 52 137 150 109 166 
3053 1 73 122 52 138 150 109 166 
3054 1 74 121 52 137 151 109 167 
3055 1 77 119 53 137 151 108 166 
3056 1 77 117 55 137 153 108 167 
3057 1 78 116 57 137 154 109 168 
3058 1 77 117 58 139 155 109 167 
3059 1 77 119 61 139 155 109 166 
3060 1 79 118 61 141 155 109 166 
3061 1 77 121 59 142 148 109 164 
3062 1 78 120 61 141 148 109 165 
3063 1 80 119 61 141 149 109 165 
3064 1 81 118 62 141 148 109 165 
