FrameNum MouseNum LeftX LeftY RightX RightY MouseAngle
1 0 155 203 189 274 166.759480085
2 0 164 207 183 250 183.468229259
3 0 171 212 118 276 167.275644315
4 0 170 214 121 280 164.427456403
5 0 172 226 116 299 152.700427789
6 0 174 237 115 316 143.426969021
7 0 179 245 117 316 139.236394799
8 0 179 247 120 313 138.742988296
9 0 178 246 122 311 139.398705355
10 0 176 245 123 309 140.492324557
11 0 178 242 121 309 141.709836808
12 0 181 237 124 309 141.469819985
13 0 180 237 123 308 142.633330587
14 0 179 234 118 310 144.090276921
15 0 182 238 119 313 141.2156359
16 0 179 234 116 314 143.285797024
17 0 176 233 114 313 144.819300639
18 0 177 234 110 310 146.309932474
19 0 177 236 109 306 146.944177188
20 0 179 235 113 282 154.983106522
21 0 177 231 111 290 154.179008026
22 0 176 223 114 282 160.16787015
23 0 178 221 114 280 161.565051177
24 0 179 216 114 277 165.068582822
25 0 180 212 114 275 167.574057135
26 0 183 214 115 273 167.152295141
27 0 182 224 117 275 161.565051177
28 0 187 224 116 274 160.94229549
29 0 184 225 119 274 160.94229549
30 0 187 217 117 275 163.495638618
31 0 187 220 118 275 162.525225744
32 0 189 202 117 275 171.41637852
33 0 192 199 117 275 172.333195738
34 0 193 193 119 275 175.42607874
35 0 193 195 123 277 172.874983651
36 0 189 199 124 277 170.909723079
37 0 198 199 125 277 169.919402012
38 0 201 198 129 276 170.31121344
39 0 200 198 127 278 169.460816271
40 0 203 195 127 277 171.67434967
41 0 205 184 125 277 180.0
42 0 204 183 127 276 181.397181027
43 0 198 192 128 277 174.68545433
44 0 195 203 125 276 168.929797422
45 0 188 207 122 276 167.828541791
46 0 186 214 123 276 163.909183651
47 0 174 250 129 274 149.808377039
48 0 159 270 136 272 145.203973722
49 0 142 301 133 265 142.471559177
50 0 121 315 146 256 143.004728857
51 0 118 325 163 258 137.254574966
52 0 118 331 188 258 129.629005304
53 0 111 338 188 255 130.815083875
54 0 111 342 188 252 130.389350681
55 0 108 345 188 248 131.308614014
56 0 109 347 188 242 132.184443316
57 0 105 349 182 216 140.463842813
58 0 100 354 188 210 140.013113755
59 0 105 354 188 210 139.08561678
60 0 108 353 188 210 138.674499521
61 0 109 353 188 210 138.674499521
62 0 111 355 188 210 137.626405638
63 0 112 355 188 210 137.121096397
64 0 109 355 188 210 138.122130462
65 0 111 354 188 210 137.626405638
66 0 111 354 188 210 137.626405638
67 0 111 354 188 210 137.626405638
68 0 110 354 188 210 137.626405638
69 0 110 352 188 210 138.17983012
70 0 116 352 188 210 136.636577042
71 0 113 351 188 210 138.239700296
72 0 114 349 188 210 138.301865674
73 0 111 348 188 210 139.31602752
74 0 115 347 188 210 138.887909561
75 0 114 347 188 210 138.887909561
76 0 112 347 188 210 139.398705355
77 0 112 347 188 210 139.398705355
78 0 110 345 188 210 140.492324557
79 0 113 344 188 210 139.993743986
80 0 113 344 188 210 139.993743986
81 0 112 344 188 210 139.993743986
82 0 112 345 188 210 139.993743986
83 0 111 345 188 210 140.492324557
84 0 114 345 188 210 139.48460601
85 0 116 343 188 210 139.57392126
86 0 111 343 188 210 141.095861545
87 0 115 342 188 210 140.092115124
88 0 115 342 188 210 140.092115124
89 0 111 341 188 210 141.709836808
90 0 112 342 188 210 140.599339337
91 0 114 342 188 210 140.092115124
92 0 115 343 188 210 140.092115124
93 0 115 344 188 210 139.48460601
94 0 115 346 188 210 138.887909561
95 0 116 346 188 210 138.366460663
96 0 116 346 188 210 138.366460663
97 0 113 347 188 210 139.398705355
98 0 115 346 188 210 138.887909561
99 0 111 346 188 210 139.899092454
100 0 110 346 188 210 139.899092454
101 0 110 347 188 210 139.899092454
102 0 109 348 188 210 139.807953963
103 0 113 347 188 210 139.398705355
