FrameNum MouseNum LeftX LeftY RightX RightY MouseAngle
2 0 59 133 55 142 217.775684306
3 0 60 138 58 141 217.568592029
4 0 60 142 65 146 216.253837737
5 0 63 148 73 149 216.46923439
6 0 64 148 81 149 218.118276369
7 0 66 152 90 153 218.541183621
8 0 67 153 100 155 219.805571092
9 0 66 152 98 154 219.907884876
10 0 65 151 100 153 220.51539399
11 0 65 149 111 151 225.0
12 0 68 143 125 147 232.792078078
13 0 68 144 125 150 231.745579647
14 0 67 141 125 149 232.792078078
15 0 69 144 125 150 232.431407971
16 0 68 141 125 148 233.29714497
17 0 66 140 125 149 232.633330587
18 0 67 142 125 152 231.745579647
19 0 66 142 125 154 230.527540152
20 0 67 141 125 152 232.275004958
21 0 65 139 125 154 231.604835497
22 0 67 127 108 140 232.853313302
23 0 68 125 113 133 236.121460195
24 0 69 120 121 132 240.086354008
25 0 72 117 120 131 241.33604289
26 0 74 117 115 134 239.839939162
27 0 72 125 125 141 239.420773128
28 0 78 121 107 138 237.264773728
29 0 78 124 108 140 236.706436729
30 0 81 128 118 138 240.068488159
31 0 79 127 125 139 242.062857173
32 0 79 126 107 135 237.475109712
33 0 79 128 109 138 236.915147071
34 0 79 132 123 141 240.255118703
35 0 79 138 125 142 239.322719978
36 0 78 146 107 146 229.666858371
37 0 82 155 98 142 227.337305859
38 0 83 158 104 133 230.82634203
39 0 87 165 103 147 225.674036898
40 0 90 170 122 141 234.833563964
41 0 94 172 118 147 232.224315694
42 0 94 174 119 145 232.224315694
43 0 87 173 125 140 234.211026541
44 0 81 171 125 147 229.635463427
45 0 75 174 125 164 219.035512899
46 0 70 176 125 181 207.699472808
47 0 65 181 125 181 203.198590514
48 0 61 181 125 181 202.249023657
49 0 62 181 125 181 202.249023657
50 0 64 181 125 181 202.714412353
51 0 65 181 125 181 203.198590514
52 0 66 181 125 181 203.198590514
53 0 67 181 125 181 203.702645951
54 0 67 181 125 181 203.702645951
55 0 68 181 125 181 203.702645951
56 0 69 181 125 181 204.227745318
57 0 70 181 125 181 204.227745318
58 0 70 181 125 181 204.227745318
59 0 70 181 125 181 204.227745318
60 0 70 181 125 181 204.227745318
61 0 68 181 125 181 203.702645951
62 0 67 181 125 181 203.702645951
63 0 66 181 125 181 203.198590514
